verb,level,freq,sources
moderate,An,1,sharunova
modify,Ap,12,sharunova+stanny2016
modify,An,1,sharunova
modify,Sn,10,sharunova+stanny2016
monitor,An,1,sharunova
monitor,Ev,1,sharunova
motivate,Ev,1,sharunova
multiply,Ap,1,sharunova
name,Kn,22,newton2020+sharunova+stanny2016
negotiate,An,1,sharunova
negotiate,Sn,1,sharunova
network,Sn,2,sharunova
observe,Kn,1,sharunova
observe,Cm,5,sharunova+stanny2016
obtain,Ap,1,sharunova
operate,Cm,1,sharunova
operate,Ap,17,newton2020+sharunova+stanny2016
operate,An,1,sharunova
optimize,An,2,sharunova
order,Kn,5,sharunova+stanny2016
order,Cm,1,sharunova
order,An,5,sharunova+stanny2016
organize,Cm,5,stanny2016
organize,Ap,4,sharunova+stanny2016
organize,An,6,sharunova+stanny2016
organize,Sn,21,sharunova+stanny2016
originate,Sn,9,sharunova+stanny2016
outline,Kn,11,sharunova+stanny2016
outline,Cm,2,sharunova
outline,An,10,newton2020+sharunova+stanny2016
outline,Sn,2,sharunova
overhaul,Sn,2,sharunova
paint,Ap,4,sharunova+stanny2016
paraphrase,Cm,22,newton2020+sharunova+stanny2016
participate,Ap,1,sharunova
perform,Ap,2,sharunova
perform,Sn,2,sharunova
personalize,Ap,2,sharunova
picture graphically,Cm,2,sharunova
plan,Sn,21,newton2020+sharunova+stanny2016
plot,Ap,2,sharunova
point,Kn,2,sharunova
point out,An,7,sharunova
portray,Sn,2,sharunova
practice,Ap,15,stanny2016
practise,Ap,13,sharunova
practise,An,1,sharunova
predict,Cm,12,sharunova+stanny2016
predict,Ap,9,sharunova+stanny2016
predict,An,4,sharunova+stanny2016
predict,Sn,8,sharunova+stanny2016
predict,Ev,6,sharunova
prepare,Ap,11,newton2020+sharunova+stanny2016
prepare,An,2,sharunova
prepare,Sn,12,sharunova+stanny2016
prepare,Ev,12,stanny2016
prescribe,Sn,2,sharunova
prescribe,Ev,2,sharunova
preserve,Ev,1,sharunova
pretend,Sn,1,sharunova
price,Ap,2,sharunova
prioritize,An,5,sharunova+stanny2016
prioritize,Ev,2,sharunova
probe,An,1,sharunova
probe,Ev,4,stanny2016
process,Ap,3,sharunova
produce,Ap,13,newton2020+sharunova+stanny2016
produce,An,1,sharunova
produce,Sn,13,sharunova+stanny2016
program,Sn,2,sharunova
progress,Sn,1,sharunova
project,Ap,3,sharunova
proofread,An,2,sharunova
propose,Sn,11,sharunova+stanny2016
protect,Ap,3,sharunova
prove,Ap,1,sharunova
prove,An,1,sharunova
prove,Ev,1,sharunova
provide,Ap,3,sharunova
query,An,2,sharunova
question,Ap,1,sharunova
question,An,12,newton2020+sharunova+stanny2016
quote,Kn,7,sharunova+stanny2016
rank,Ev,6,sharunova
rate,Sn,21,stanny2016
rate,Ev,13,newton2020+sharunova+stanny2016
read,Kn,4,sharunova+stanny2016
rearrange,Sn,9,sharunova+stanny2016
rearrange,Ev,19,stanny2016
recall,Kn,24,newton2020+sharunova+stanny2016
recite,Kn,12,sharunova+stanny2016
recognize,Kn,14,sharunova+stanny2016
recognize,Cm,11,sharunova+stanny2016
recognize,An,1,sharunova
recognize,Sn,1,sharunova
recommend,Sn,1,sharunova
recommend,Ev,9,sharunova
reconcile,An,1,sharunova
reconcile,Ev,12,sharunova+stanny2016
reconstruct,Sn,9,sharunova+stanny2016
record,Kn,13,sharunova+stanny2016
refer,Sn,3,sharunova
reframe,Sn,1,sharunova
reframe,Ev,2,sharunova
reinforce,Sn,1,sharunova
relate,Kn,11,sharunova+stanny2016
relate,Cm,7,stanny2016
relate,Ap,12,sharunova+stanny2016
relate,An,17,sharunova+stanny2016
relate,Sn,8,sharunova+stanny2016
relate,Ev,4,sharunova
release,Ev,6,sharunova+stanny2016
reorganize,Sn,9,sharunova+stanny2016
repeat,Kn,20,newton2020+sharunova+stanny2016
report,Cm,10,newton2020+sharunova+stanny2016
report,Ap,2,sharunova
represent,Cm,4,sharunova+stanny2016
reproduce,Kn,12,sharunova+stanny2016
research,An,1,sharunova
resolve,An,1,sharunova
resolve,Ev,1,sharunova
respond,Ap,1,sharunova
restate,Cm,15,sharunova+stanny2016
restructure,Ap,1,sharunova
retell,Kn,1,sharunova
retrieve,Ap,1,sharunova
review,Kn,4,sharunova+stanny2016
review,Cm,15,sharunova+stanny2016
review,An,1,sharunova
review,Sn,1,sharunova
review,Ev,1,sharunova
revise,Sn,12,newton2020+sharunova+stanny2016
revise,Ev,4,sharunova
rewrite,Cm,12,sharunova+stanny2016
rewrite,Sn,7,sharunova+stanny2016
rewrite,Ev,4,stanny2016
role-play,Sn,4,sharunova+stanny2016
round off,Ap,2,sharunova
schedule,Cm,1,sharunova
schedule,Ap,11,sharunova+stanny2016
schedule,An,1,sharunova
score,Ev,5,sharunova
screen,Ap,1,sharunova
scrutinize,An,1,sharunova
select,Kn,16,sharunova+stanny2016
select,Cm,7,sharunova+stanny2016
select,Ap,4,sharunova+stanny2016
select,An,12,sharunova+stanny2016
select,Ev,14,sharunova+stanny2016
separate,An,12,sharunova+stanny2016
sequence,Kn,1,sharunova
sequence,Ap,2,sharunova
set up,Sn,6,sharunova
setup,An,1,sharunova
setup,Sn,1,sharunova
shop,Cm,1,sharunova
shop,Ap,3,sharunova
show,Kn,1,sharunova
show,Ap,13,sharunova+stanny2016
show,An,1,sharunova
simplify,Ap,1,sharunova
simulate,Ap,5,sharunova+stanny2016
simulate,Sn,1,sharunova
size up,An,2,sharunova
sketch,Cm,1,sharunova
sketch,Ap,17,sharunova+stanny2016
sketch,An,1,sharunova
solve,Ap,19,newton2020+sharunova+stanny2016
solve,An,8,sharunova+stanny2016
solve,Sn,1,sharunova
specify,Sn,5,sharunova+stanny2016
speculate,Sn,1,sharunova
state,Kn,23,newton2020+sharunova+stanny2016
structure,Sn,1,sharunova
study,Kn,2,sharunova
subdivide,An,10,sharunova+stanny2016
subscribe,Ap,2,sharunova
substitute,Sn,3,sharunova
subtract,Cm,2,sharunova
suggest,Cm,1,sharunova
summarize,Cm,20,newton2020+sharunova+stanny2016
summarize,An,1,sharunova
summarize,Sn,7,sharunova+stanny2016
summarize,Ev,6,sharunova
summary,Ev,1,sharunova
supervise,Sn,1,sharunova
supervise,Ev,9,stanny2016
support,Sn,1,newton2020
support,Ev,15,sharunova
survey,An,7,sharunova+stanny2016
synthesize,Sn,4,sharunova+stanny2016
synthesize,Ev,16,stanny2016
tabulate,Kn,4,sharunova+stanny2016
tabulate,Ap,2,sharunova
tally,Kn,1,sharunova
tally,Ap,1,sharunova
teach,Sn,1,sharunova
tell,Kn,5,sharunova+stanny2016
tell,Cm,7,sharunova+stanny2016
tell,Sn,4,sharunova
test,An,14,newton2020+sharunova+stanny2016
test,Ev,8,sharunova+stanny2016
trace,Kn,2,sharunova
trace,Cm,1,sharunova
train,An,2,sharunova
transcribe,Ap,3,sharunova
transfer,Ap,2,sharunova
transform,An,2,sharunova
translate,Cm,21,newton2020+sharunova+stanny2016
translate,Ap,5,sharunova+stanny2016
troubleshoot,An,1,sharunova
underline,Kn,7,sharunova+stanny2016
understand,Cm,1,sharunova
unify,Sn,1,sharunova
update,Sn,1,sharunova
uphold,Ev,1,sharunova
use,Ap,25,newton2020+sharunova+stanny2016
use,An,1,sharunova
use,Ev,1,sharunova
utilize,Ap,4,sharunova+stanny2016
validate,Sn,1,sharunova
validate,Ev,4,sharunova
value,Ev,10,sharunova+stanny2016
verify,Ev,9,sharunova+stanny2016
view,Kn,1,sharunova
visualize,Kn,1,sharunova
visualize,Cm,2,sharunova
weigh,Ev,5,sharunova+stanny2016
write,Kn,6,sharunova+stanny2016
write,Ap,5,sharunova+stanny2016
write,An,1,sharunova
write,Sn,17,sharunova+stanny2016
