Verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev
downsize,True,2,001010,Sn,Ap,True,3,001011,Sn,"Ap, Ev",0.02,0.162,0.71,0.321,0.717,0.661,0.020326,0.835079,0,0.161681,0.651832,0,0.70986,0.554974,1,0.320747,0.667539,0,0.717349,0.670157,1,0.66079,0.759162,0,0,0,1,0,1,0
doze,False,0,000000,,,False,0,000000,,,0.452,0.51,0.029,0.522,0.421,0.481,0.451848,0.835079,0,0.50999,0.651832,0,0.028644,0.554974,0,0.522039,0.667539,0,0.421036,0.670157,0,0.481339,0.759162,0,0,0,0,0,0,0
draft,True,1,000001,Ev,,True,2,100001,Ev,Kn,0.815,0.202,0.402,0.142,0.448,0.895,0.814764,0.835079,0,0.201915,0.651832,0,0.401834,0.554974,0,0.141861,0.667539,0,0.44844,0.670157,0,0.895226,0.759162,1,0,0,0,0,0,1
drag,True,1,001000,Ap,,True,3,011100,Ap,"Cm, An",0.574,0.68,0.811,0.684,0.145,0.424,0.573893,0.835079,0,0.680289,0.651832,1,0.810788,0.554974,1,0.684386,0.667539,1,0.145375,0.670157,0,0.424368,0.759162,0,0,0,1,0,0,0
drain,True,1,001000,Ap,,True,3,001101,Ap,"An, Ev",0.24,0.259,0.836,0.664,0.007,0.682,0.239586,0.835079,0,0.259048,0.651832,0,0.83576,0.554974,1,0.663606,0.667539,0,0.007316,0.670157,0,0.682223,0.759162,0,0,0,1,0,0,0
dredge,False,0,000000,,,True,1,000001,Ev,,0.236,0.196,0.418,0.486,0.122,0.661,0.236077,0.835079,0,0.195851,0.651832,0,0.417558,0.554974,0,0.486478,0.667539,0,0.121871,0.670157,0,0.660697,0.759162,0,0,0,0,0,0,0
dress,True,1,000010,Sn,,True,3,011010,Sn,"Cm, Ap",0.546,0.601,0.727,0.321,0.898,0.163,0.545666,0.835079,0,0.601459,0.651832,0,0.727412,0.554974,1,0.320532,0.667539,0,0.898404,0.670157,1,0.163352,0.759162,0,0,0,0,0,1,0
drink,True,1,001000,Ap,,True,2,101000,Kn,Ap,0.774,0.425,0.736,0.264,0.171,0.601,0.774071,0.835079,0,0.425015,0.651832,0,0.736445,0.554974,1,0.264242,0.667539,0,0.171465,0.670157,0,0.601315,0.759162,0,0,0,1,0,0,0
drive,True,1,001000,Ap,,True,2,101000,Ap,Kn,0.722,0.446,0.829,0.374,0.287,0.48,0.721548,0.835079,0,0.445781,0.651832,0,0.82863,0.554974,1,0.374455,0.667539,0,0.287014,0.670157,0,0.479594,0.759162,0,0,0,1,0,0,0
drop,True,1,001000,Ap,,True,2,101000,Kn,Ap,0.759,0.211,0.627,0.458,0.058,0.463,0.759044,0.835079,0,0.21084,0.651832,0,0.626853,0.554974,1,0.4582,0.667539,0,0.057577,0.670157,0,0.462627,0.759162,0,0,0,1,0,0,0
drown,True,1,001000,Ap,,True,1,001000,Ap,,0.509,0.078,0.63,0.087,0.107,0.494,0.508772,0.835079,0,0.077882,0.651832,0,0.630391,0.554974,1,0.087373,0.667539,0,0.106513,0.670157,0,0.494032,0.759162,0,0,0,1,0,0,0
dry,False,0,000000,,,False,0,000000,,,0.589,0.389,0.376,0.363,0.274,0.438,0.588843,0.835079,0,0.388925,0.651832,0,0.375706,0.554974,0,0.362713,0.667539,0,0.274348,0.670157,0,0.438459,0.759162,0,0,0,0,0,0,0
dub,False,0,000000,,,False,0,000000,,,0.196,0.346,0.07,0.309,0.347,0.243,0.196388,0.835079,0,0.346235,0.651832,0,0.069856,0.554974,0,0.309262,0.667539,0,0.346836,0.670157,0,0.24294,0.759162,0,0,0,0,0,0,0
dump,True,3,001101,Ev,"Ap, An",True,3,001101,Ev,"Ap, An",0.513,0.313,0.635,0.831,0.176,0.847,0.513466,0.835079,0,0.313397,0.651832,0,0.634936,0.554974,1,0.83056,0.667539,1,0.176481,0.670157,0,0.847073,0.759162,1,0,0,1,1,0,1
dwell,True,1,100000,Kn,,True,2,101000,Kn,Ap,0.873,0.202,0.529,0.184,0.25,0.485,0.872556,0.835079,1,0.202176,0.651832,0,0.528856,0.554974,0,0.184312,0.667539,0,0.249799,0.670157,0,0.48497,0.759162,0,1,0,0,0,0,0
dye,True,2,010100,An,Cm,True,3,110100,An,"Kn, Cm",0.727,0.706,0.298,0.76,0.229,0.462,0.726645,0.835079,0,0.7055,0.651832,1,0.298056,0.554974,0,0.759945,0.667539,1,0.22925,0.670157,0,0.462136,0.759162,0,0,1,0,1,0,0
earn,True,1,001000,Ap,,True,2,001001,Ap,Ev,0.709,0.187,0.959,0.562,0.075,0.697,0.70876,0.835079,0,0.186751,0.651832,0,0.95892,0.554974,1,0.56154,0.667539,0,0.074981,0.670157,0,0.697283,0.759162,0,0,0,1,0,0,0
ease,False,0,000000,,,False,0,000000,,,0.451,0.234,0.148,0.257,0.288,0.421,0.451143,0.835079,0,0.23355,0.651832,0,0.148347,0.554974,0,0.257039,0.667539,0,0.287869,0.670157,0,0.420822,0.759162,0,0,0,0,0,0,0
eat,True,3,101100,Ap,"Kn, An",True,3,101100,Ap,"Kn, An",0.923,0.161,0.933,0.67,0.037,0.43,0.923132,0.835079,1,0.160599,0.651832,0,0.933167,0.554974,1,0.670193,0.667539,1,0.03748,0.670157,0,0.429924,0.759162,0,1,0,1,1,0,0
eavesdrop,False,0,000000,,,False,0,000000,,,0.624,0.212,0.304,0.089,0.227,0.08,0.62436,0.835079,0,0.212415,0.651832,0,0.303856,0.554974,0,0.088777,0.667539,0,0.227249,0.670157,0,0.079621,0.759162,0,0,0,0,0,0,0
echo,False,0,000000,,,True,1,100000,Kn,,0.725,0.478,0.103,0.291,0.515,0.028,0.724516,0.835079,0,0.478076,0.651832,0,0.103351,0.554974,0,0.29066,0.667539,0,0.515456,0.670157,0,0.027812,0.759162,0,0,0,0,0,0,0
edge,True,3,010101,Ev,"Cm, An",True,4,110101,Ev,"Kn, Cm, An",0.756,0.74,0.099,0.808,0.164,0.826,0.755536,0.835079,0,0.740083,0.651832,1,0.099416,0.554974,0,0.80792,0.667539,1,0.163945,0.670157,0,0.826208,0.759162,1,0,1,0,1,0,1
educate,True,1,001000,Ap,,True,2,001010,Ap,Sn,0.235,0.071,0.814,0.013,0.731,0.368,0.234652,0.835079,0,0.070532,0.651832,0,0.814435,0.554974,1,0.013123,0.667539,0,0.731254,0.670157,1,0.367587,0.759162,0,0,0,1,0,0,0
eject,True,1,000001,Ev,,True,2,001001,Ev,Ap,0.089,0.047,0.63,0.444,0.115,0.899,0.089008,0.835079,0,0.046727,0.651832,0,0.630195,0.554974,1,0.443578,0.667539,0,0.115054,0.670157,0,0.899187,0.759162,1,0,0,0,0,0,1
elapse,True,1,001000,Ap,,True,3,011100,Cm,"Ap, An",0.19,0.65,0.571,0.598,0.426,0.516,0.190178,0.835079,0,0.649505,0.651832,0,0.5714,0.554974,1,0.598176,0.667539,0,0.425554,0.670157,0,0.516346,0.759162,0,0,0,1,0,0,0
elect,True,1,001000,Ap,,True,2,001001,Ap,Ev,0.709,0.405,0.895,0.475,0.347,0.736,0.708764,0.835079,0,0.404986,0.651832,0,0.895137,0.554974,1,0.475075,0.667539,0,0.347108,0.670157,0,0.735853,0.759162,0,0,0,1,0,0,0
elevate,True,1,000001,Ev,,True,2,001001,Ev,Ap,0.132,0.14,0.615,0.082,0.521,0.779,0.132488,0.835079,0,0.139778,0.651832,0,0.615109,0.554974,1,0.081826,0.667539,0,0.520929,0.670157,0,0.778527,0.759162,1,0,0,0,0,0,1
elicit,True,1,000001,Ev,,True,3,001101,Ev,"Ap, An",0.223,0.031,0.509,0.575,0.436,0.857,0.223052,0.835079,0,0.030613,0.651832,0,0.509247,0.554974,0,0.575443,0.667539,0,0.436333,0.670157,0,0.857201,0.759162,1,0,0,0,0,0,1
eliminate,True,3,001101,Ap,"An, Ev",True,3,001101,Ap,"An, Ev",0.027,0.198,0.787,0.681,0.327,0.765,0.027444,0.835079,0,0.198281,0.651832,0,0.786921,0.554974,1,0.680562,0.667539,1,0.327181,0.670157,0,0.765053,0.759162,1,0,0,1,1,0,1
elongate,True,1,001000,Ap,,True,3,001110,Ap,"An, Sn",0.007,0.376,0.787,0.694,0.583,0.063,0.007181,0.835079,0,0.375804,0.651832,0,0.787024,0.554974,1,0.694303,0.667539,1,0.582713,0.670157,0,0.062672,0.759162,0,0,0,1,0,0,0
elucidate,True,2,010100,An,Cm,True,3,010101,An,"Cm, Ev",0.082,0.879,0.415,0.923,0.074,0.647,0.081526,0.835079,0,0.878564,0.651832,1,0.414915,0.554974,0,0.922577,0.667539,1,0.073786,0.670157,0,0.646716,0.759162,0,0,1,0,1,0,0
elude,True,1,001000,Ap,,True,1,001000,Ap,,0.411,0.236,0.88,0.088,0.136,0.459,0.411349,0.835079,0,0.235567,0.651832,0,0.879522,0.554974,1,0.08752,0.667539,0,0.136174,0.670157,0,0.459197,0.759162,0,0,0,1,0,0,0
elute,True,1,010000,Cm,,True,2,011000,Cm,Ap,0.232,0.777,0.53,0.388,0.284,0.461,0.232258,0.835079,0,0.777181,0.651832,1,0.529685,0.554974,0,0.388146,0.667539,0,0.283581,0.670157,0,0.460949,0.759162,0,0,1,0,0,0,0
emanate,False,0,000000,,,True,1,010000,Cm,,0.074,0.584,0.31,0.084,0.281,0.049,0.073897,0.835079,0,0.583556,0.651832,0,0.310491,0.554974,0,0.08355,0.667539,0,0.281494,0.670157,0,0.049015,0.759162,0,0,0,0,0,0,0
embark,False,0,000000,,,True,1,000010,Sn,,0.453,0.136,0.346,0.088,0.574,0.189,0.45266,0.835079,0,0.136231,0.651832,0,0.34637,0.554974,0,0.08793,0.667539,0,0.574279,0.670157,0,0.188613,0.759162,0,0,0,0,0,0,0
embed,False,0,000000,,,True,1,001000,Ap,,0.478,0.376,0.522,0.307,0.343,0.17,0.478133,0.835079,0,0.376231,0.651832,0,0.522456,0.554974,0,0.307339,0.667539,0,0.343447,0.670157,0,0.169946,0.759162,0,0,0,0,0,0,0
