Verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev
counterbalance,False,0,000000,,,True,2,100001,Kn,Ev,0.747,0.399,0.406,0.208,0.302,0.661,0.747444,0.853403,0,0.399447,0.827225,0,0.406202,0.581152,0,0.208204,0.63089,0,0.302289,0.651832,0,0.66088,0.772251,0,0,0,0,0,0,0
cover,True,1,001000,Ap,,True,1,001000,Ap,,0.689,0.642,0.703,0.037,0.261,0.315,0.689397,0.853403,0,0.641895,0.827225,0,0.70274,0.581152,1,0.037381,0.63089,0,0.260945,0.651832,0,0.31513,0.772251,0,0,0,1,0,0,0
crack,True,1,000100,An,,True,1,000100,An,,0.551,0.097,0.082,0.776,0.081,0.647,0.551229,0.853403,0,0.096638,0.827225,0,0.082303,0.581152,0,0.775586,0.63089,1,0.080501,0.651832,0,0.646648,0.772251,0,0,0,0,1,0,0
crawl,True,1,100000,Kn,,True,2,100100,Kn,An,0.947,0.489,0.456,0.833,0.075,0.08,0.946913,0.853403,1,0.489011,0.827225,0,0.455968,0.581152,0,0.832638,0.63089,1,0.075466,0.651832,0,0.079605,0.772251,0,1,0,0,0,0,0
creep,True,2,100100,Kn,An,True,2,100100,Kn,An,0.92,0.681,0.197,0.865,0.264,0.066,0.920012,0.853403,1,0.681486,0.827225,0,0.196877,0.581152,0,0.864873,0.63089,1,0.263835,0.651832,0,0.065796,0.772251,0,1,0,0,1,0,0
crowd,True,1,100000,Kn,,True,2,110000,Kn,Cm,0.943,0.845,0.358,0.495,0.3,0.429,0.943319,0.853403,1,0.84507,0.827225,1,0.357994,0.581152,0,0.494613,0.63089,0,0.300462,0.651832,0,0.428504,0.772251,0,1,0,0,0,0,0
crumble,True,1,000001,Ev,,True,1,000001,Ev,,0.374,0.108,0.291,0.503,0.394,0.831,0.373833,0.853403,0,0.10806,0.827225,0,0.290889,0.581152,0,0.5033,0.63089,0,0.393962,0.651832,0,0.831267,0.772251,1,0,0,0,0,0,1
crumple,True,1,000100,An,,True,2,001100,An,Ap,0.264,0.639,0.517,0.878,0.511,0.299,0.264404,0.853403,0,0.639213,0.827225,0,0.517011,0.581152,0,0.878058,0.63089,1,0.510981,0.651832,0,0.298972,0.772251,0,0,0,0,1,0,0
crush,True,1,100000,Kn,,True,3,110010,Kn,"Cm, Sn",0.984,0.812,0.29,0.346,0.565,0.528,0.984038,0.853403,1,0.811871,0.827225,0,0.290359,0.581152,0,0.346431,0.63089,0,0.565294,0.651832,0,0.528286,0.772251,0,1,0,0,0,0,0
cry,True,1,000010,Sn,,True,4,100111,Kn,"An, Sn, Ev",0.841,0.68,0.277,0.577,0.723,0.767,0.841218,0.853403,0,0.68009,0.827225,0,0.276824,0.581152,0,0.577018,0.63089,0,0.722526,0.651832,1,0.767389,0.772251,0,0,0,0,0,1,0
crystallize,True,1,000010,Sn,,True,1,000010,Sn,,0.149,0.071,0.188,0.455,0.93,0.556,0.149215,0.853403,0,0.071226,0.827225,0,0.188131,0.581152,0,0.454728,0.63089,0,0.929741,0.651832,1,0.55615,0.772251,0,0,0,0,0,1,0
cull,True,1,000001,Ev,,True,1,000001,Ev,,0.31,0.026,0.397,0.461,0.288,0.799,0.309933,0.853403,0,0.026178,0.827225,0,0.39676,0.581152,0,0.460781,0.63089,0,0.28771,0.651832,0,0.798803,0.772251,1,0,0,0,0,0,1
culminate,True,1,000001,Ev,,True,3,010101,Ev,"Cm, An",0.388,0.725,0.015,0.636,0.466,0.882,0.388051,0.853403,0,0.724846,0.827225,0,0.015208,0.581152,0,0.635931,0.63089,1,0.466393,0.651832,0,0.881616,0.772251,1,0,0,0,0,0,1
curtail,True,1,000001,Ev,,True,1,000001,Ev,,0.392,0.507,0.291,0.323,0.397,0.851,0.392465,0.853403,0,0.506553,0.827225,0,0.29142,0.581152,0,0.322673,0.63089,0,0.397417,0.651832,0,0.851126,0.772251,1,0,0,0,0,0,1
cuss,True,1,000001,Ev,,True,2,000011,Ev,Sn,0.617,0.518,0.439,0.347,0.57,0.849,0.617124,0.853403,0,0.518125,0.827225,0,0.439199,0.581152,0,0.347026,0.63089,0,0.569556,0.651832,0,0.849376,0.772251,1,0,0,0,0,0,1
cut,True,1,000100,An,,True,2,001100,An,Ap,0.61,0.367,0.847,0.925,0.032,0.312,0.609852,0.853403,0,0.367397,0.827225,0,0.846998,0.581152,1,0.925466,0.63089,1,0.032067,0.651832,0,0.312081,0.772251,0,0,0,0,1,0,0
damage,False,0,000000,,,True,2,101000,Kn,Ap,0.733,0.543,0.545,0.504,0.09,0.331,0.73294,0.853403,0,0.542864,0.827225,0,0.545356,0.581152,0,0.504155,0.63089,0,0.090283,0.651832,0,0.330513,0.772251,0,0,0,0,0,0,0
damp,False,0,000000,,,True,2,100001,Ev,Kn,0.747,0.674,0.191,0.2,0.307,0.768,0.747159,0.853403,0,0.674294,0.827225,0,0.190593,0.581152,0,0.200335,0.63089,0,0.306546,0.651832,0,0.767576,0.772251,0,0,0,0,0,0,0
dangle,True,1,100000,Kn,,True,3,100101,Kn,"An, Ev",0.919,0.403,0.382,0.608,0.097,0.796,0.91945,0.853403,1,0.402782,0.827225,0,0.382194,0.581152,0,0.608395,0.63089,0,0.09725,0.651832,0,0.796492,0.772251,1,1,0,0,0,0,0
dare,True,2,101000,Ap,Kn,True,2,101000,Ap,Kn,0.855,0.543,0.867,0.382,0.409,0.206,0.854695,0.853403,1,0.542674,0.827225,0,0.866869,0.581152,1,0.381932,0.63089,0,0.408847,0.651832,0,0.205763,0.772251,0,1,0,1,0,0,0
darken,True,1,000010,Sn,,True,2,001010,Sn,Ap,0.427,0.376,0.691,0.225,0.828,0.344,0.427375,0.853403,0,0.375978,0.827225,0,0.690808,0.581152,1,0.224999,0.63089,0,0.827944,0.651832,1,0.34403,0.772251,0,0,0,0,0,1,0
de-emphasize,True,1,000100,An,,True,1,000100,An,,0.427,0.544,0.212,0.717,0.312,0.481,0.426946,0.853403,0,0.543891,0.827225,0,0.211865,0.581152,0,0.716921,0.63089,1,0.31191,0.651832,0,0.481064,0.772251,0,0,0,0,1,0,0
deactivate,True,1,001000,Ap,,True,1,001000,Ap,,0.149,0.1,0.973,0.462,0.171,0.315,0.149215,0.853403,0,0.100197,0.827225,0,0.972555,0.581152,1,0.461994,0.63089,0,0.171356,0.651832,0,0.315485,0.772251,0,0,0,1,0,0,0
deal,True,1,000010,Sn,,True,2,000110,Sn,An,0.345,0.379,0.027,0.563,0.654,0.428,0.345317,0.853403,0,0.379498,0.827225,0,0.026568,0.581152,0,0.563108,0.63089,0,0.653629,0.651832,1,0.427624,0.772251,0,0,0,0,0,1,0
debunk,True,2,000101,Ev,An,True,2,000101,Ev,An,0.149,0.039,0.153,0.915,0.302,0.939,0.149215,0.853403,0,0.038597,0.827225,0,0.153459,0.581152,0,0.914851,0.63089,1,0.30166,0.651832,0,0.938864,0.772251,1,0,0,0,1,0,1
decarboxylate,True,2,000110,An,Sn,True,2,000110,An,Sn,0.269,0.099,0.098,0.806,0.785,0.543,0.268555,0.853403,0,0.09931,0.827225,0,0.098016,0.581152,0,0.80611,0.63089,1,0.785059,0.651832,1,0.543132,0.772251,0,0,0,0,1,1,0
deceive,True,1,000001,Ev,,True,1,000001,Ev,,0.567,0.388,0.387,0.335,0.303,0.797,0.566566,0.853403,0,0.387663,0.827225,0,0.386509,0.581152,0,0.334673,0.63089,0,0.302858,0.651832,0,0.796671,0.772251,1,0,0,0,0,0,1
decelerate,True,1,000100,An,,True,2,001100,An,Ap,0.149,0.081,0.598,0.715,0.235,0.623,0.149215,0.853403,0,0.081305,0.827225,0,0.597765,0.581152,1,0.71514,0.63089,1,0.235365,0.651832,0,0.623138,0.772251,0,0,0,0,1,0,0
