Model,Params,Mode,Percentile,Thresholds,PassedMinAccept,UsedOOF,SCS_core,SCS_eval,PenalizedObj_eval,Core_D,Core_M,Core_T,Core_C,Core_E,Core_D_bar,Core_W_bar,Core_rho,Core_acceptance,Core_entry_rate,Core_en_over_ac,Core_per_level,Eval_D,Eval_M,Eval_T,Eval_C,Eval_E,Eval_D_bar,Eval_W_bar,Eval_rho,Eval_acceptance,Eval_entry_rate,Eval_en_over_ac,Eval_per_level
Legacy kNN (freq),"{'K': 5, 'thresh': 0.2, 'cutoff': 16}",K=5/th=0.2/c=16,,,True,,0.5359873354495461,0.6389939348644122,-0.7833708544028517,0.06575815017144473,0.4431114378035911,1.0,0.3778020769389747,0.0,0.03605103929721665,0.5121847831076766,0.9999999999999999,0.8083989501312336,2.393700787401575,2.961038961038961,"[75, 139, 181, 205, 173, 139]",0.06503855315859206,0.337477852967622,1.0,0.37144411557814055,0,0.03743035901727295,0.5380789683112207,0.9999999999999999,0.6436363636363637,1.5212121212121212,2.3634651600753296,"[222, 329, 491, 505, 520, 443]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.2, 'cutoff': 20}",K=5/th=0.2/c=20,,,True,,0.6315543389261166,0.7572831839248685,-0.035089782742428244,0.09683717487503879,0.3791533814715934,1.0,0.3795684850755702,0.0,0.054669118741909745,0.5098766972144231,0.9999999999999999,0.7165354330708661,1.8871391076115485,2.6336996336996337,"[55, 111, 146, 169, 127, 111]",0.08624453657124201,0.24109264905253203,1.0,0.3737709880205282,0,0.05035870023798114,0.533546275027855,0.9999999999999999,0.5327272727272727,1.0696969696969696,2.0079635949943118,"[173, 236, 348, 357, 373, 278]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.2, 'cutoff': 24}",K=5/th=0.2/c=24,,,True,,0.810102818727619,0.7586647819051339,-0.24268008781140005,0.19233491576553619,0.29765811638304956,1.0,0.3847533978171077,0.0,0.11943214496680273,0.5015261046392084,0.9999999999999999,0.6220472440944882,1.3674540682414698,2.19831223628692,"[24, 66, 105, 133, 101, 92]",0.11275092558003978,0.18675335390681436,0.8999999999999999,0.3755573674396952,0,0.06744555187812959,0.5307352504544042,0.7999999999999999,0.40606060606060607,0.7096969696969697,1.7477611940298508,"[89, 143, 241, 238, 254, 206]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.2, 'cutoff': 28}",K=5/th=0.2/c=28,,,True,,0.8812701483115036,0.9011447879562366,-0.6753515389491811,0.2285908777407,0.2633402311867535,1.0,0.3867316725251903,0.0,0.1468986373200261,0.4957272197615554,0.9999999999999999,0.5564304461942258,1.0813648293963254,1.9433962264150941,"[20, 56, 81, 111, 81, 63]",0.17271471352763287,0.14559468641689294,0.95,0.3800825361516558,0,0.11068901124360311,0.5301877054420331,0.8999999999999998,0.2884848484848485,0.4581818181818182,1.588235294117647,"[37, 83, 154, 152, 206, 124]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.2, 'cutoff': 32}",K=5/th=0.2/c=32,,,True,,0.9141679429654561,0.9448540557846723,-1.0626232839183753,0.2491087113734469,0.2511776387285773,1.0,0.38745623440195487,0.0,0.16171782905128604,0.48746693470488234,0.9999999999999999,0.45144356955380577,0.8818897637795275,1.9534883720930232,"[16, 50, 72, 92, 62, 44]",0.19963957847774103,0.12954237232821625,0.95,0.38252283211715854,0,0.13081211091409378,0.5244282591165426,0.8999999999999998,0.21636363636363637,0.32606060606060605,1.5070028011204482,"[31, 51, 108, 111, 152, 85]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.24, 'cutoff': 6}",K=5/th=0.24/c=6,,,True,,0.4212107873856448,0.5044208954323139,-4.272848214400127,0.041291405761247374,0.5332586973081379,1.0,0.3772602631084511,0.0,0.022366738921653122,0.519312509287398,0.9999999999999999,0.9658792650918635,3.4698162729658795,3.592391304347826,"[129, 204, 260, 281, 243, 205]",0.03211127772771996,0.4382727179653803,1.0,0.36860778556658064,0,0.017816592887215384,0.5370215212173992,0.9999999999999999,0.9321212121212121,2.838787878787879,3.045513654096229,"[468, 700, 938, 911, 931, 736]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.24, 'cutoff': 8}",K=5/th=0.24/c=8,,,True,,0.4266818489389926,0.5197408584107883,-3.575226771629282,0.04338529135966562,0.5298169515107432,1.0,0.37704503030023356,0.0,0.023511182522222833,0.5184037937314407,0.9999999999999999,0.9291338582677166,3.3070866141732282,3.559322033898305,"[120, 197, 247, 271, 233, 192]",0.036404047657382095,0.42732137840097606,1.0,0.3688606305146073,0,0.020283072720632688,0.5368812433872765,0.9999999999999999,0.8745454545454545,2.5775757575757576,2.9473319473319477,"[414, 671, 803, 842, 850, 673]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.24, 'cutoff': 10}",K=5/th=0.24/c=10,,,True,,0.4336102404184662,0.5277753766673392,-3.4409476984121596,0.044154476496477385,0.5236590342605709,1.0,0.37704932727519874,0.0,0.02395476069207316,0.5185659175795344,0.9999999999999999,0.9028871391076115,3.1784776902887137,3.520348837209302,"[116, 193, 237, 263, 219, 183]",0.03829197971115252,0.42114342685446415,1.0,0.36875607936883587,0,0.021403374911820088,0.5375475276346644,0.9999999999999999,0.8272727272727273,2.421818181818182,2.9274725274725277,"[392, 649, 739, 768, 792, 656]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.24, 'cutoff': 12}",K=5/th=0.24/c=12,,,True,,0.47112737929417503,0.5728436369043832,-2.1996150380112454,0.05242857005031405,0.49435195664307097,1.0,0.37683588628977305,0.0,0.028592698207430288,0.5167711320748142,0.9999999999999999,0.8792650918635171,2.9238845144356955,3.325373134328358,"[96, 175, 219, 249, 203, 172]",0.04739846314778884,0.3854236119466755,1.0,0.36956261901089965,0,0.026720548629114674,0.53702138425459,0.9999999999999999,0.7927272727272727,2.1545454545454548,2.717889908256881,"[328, 539, 662, 701, 713, 612]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.24, 'cutoff': 16}",K=5/th=0.24/c=16,,,True,,0.5359873354495461,0.6395162283521285,-0.7787428811645141,0.06575815017144473,0.4431114378035911,1.0,0.3778020769389747,0.0,0.03605103929721665,0.5121847831076766,0.9999999999999999,0.8083989501312336,2.393700787401575,2.961038961038961,"[75, 139, 181, 205, 173, 139]",0.06504665084091478,0.3369522823556593,1.0,0.3714061995562433,0,0.03741285038624338,0.537755661073222,0.9999999999999999,0.6430303030303031,1.5187878787878788,2.361922714420358,"[222, 329, 491, 505, 518, 441]"
